Title,Company,Location,Salary,Days,Summary
Data Scientist,Kaplan,"Bengaluru, Karnataka",None,7 days ago,"Generate clearly understood and intuitive data science / advanced analytics outputs.
Participate in best practice sharing and communication platform for…"
Senior Data Scientist,"Zendrive, Inc.","Bengaluru, Karnataka",None,Just posted,"Architect our data warehousing strategy.
Derive insights from data and answer difficult questions.
Can you analyse our large corpus of driving data - literally…"
Data Analyst - Statistician,Eli Lilly,"Bengaluru, Karnataka",None,2 days ago,"Perform data mining on historical data.
Perform data/statistical analysis and summarize outputs for shipping & distribution studies."
Big Data Engineer - Data Platforms,Standard Chartered,"Bengaluru, Karnataka",None,18 days ago,"Exposure to data pipelines, architectures and data sets.
Keep our data separated and secure across national boundaries through multiple data-center."
Data Science Consultant (Machine Learning+Python),Larsen & Toubro Infotech Limited,"Mumbai, Maharashtra",None,13 days ago,Minimum 3-6 years of hands on experience using statistical computer languages (Python/R) to manipulate data and draw insights from large data sets.
Data Science Trainer,Emerging India Group,India,None,30+ days ago,"Experience in developing Hadoop integrations for data ingestion, data mapping and data processing capabilities."
Data Scientist,UST Global Singapore Pte Limited,"Pune, Maharashtra",None,3 days ago,"This SO is to tag the Hi-Lab resources.
Work with client to come up with appropriate use cases for anomaly detection in Claims and Provider."
Data Engineer - Data Integration,IBM,Bihar,None,4 days ago,"IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition.
What about all of these?"
Engineering Manager - Data Science & Engineering,Medtronic,"Hyderabad, Telangana",None,12 days ago,"Building data management, data science, and AI community and connecting with others across Medtronic.
Apply knowledge of various machine learning techniques and…"
Data Engineer,NatWest Group,"Delhi, Delhi",None,2 days ago,"Loading data into data platforms.
Working closely with universal analysts, platform engineers and data scientists, you’ll carry out data engineering tasks to…"
Data Scientist,Biz2Credit Inc,"Noida, Uttar Pradesh",None,6 days ago,"We believe that there is a tremendous opportunity to leverage cutting-edge data science to inform smarter, faster decision making."
Data Analyst,Cubic Corporation,"Hyderabad, Telangana",None,Today,"Build process supporting data transformation, data structures, metadata, dependencies and workload management.
Validate and quality control produced data sets."
